311,01,8,PIP,PIPLANI PET,,0,29,,,14
311,01,8,KAL,KALPANA NAG,,0,30,,,16
311,01,8,RAT,RATNAGIRI,,0,31,,,16
311,01,8,ANA,ANAND NAGAR,,0,32,,,16
311,01,8,SID,SIDDARDH LA,,0,33,,,16
311,01,8,ORI,ORIENTAL CO,,0,34,,,18
311,01,8,NRI,NRI COLLEGE,,0,35,,,18
311,01,8,BYP,BYPASS,,0,36,,,20
311,01,8,LNC,LNCT,,0,37,,,20
311,01,9,NAD,NADARA BUS ,,0,9,,,0
311,01,9,BHO,BHOPAL STAT,,0,10,,,5
311,01,9,BHA,BHARAT TALK,,0,11,,,5
311,01,9,BHO,BHOPAL STAT,,0,12,,,5
311,01,9,KAM,KAMPU KA BA,,0,13,,,5
